# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)	E_Zeeman (J)	E_exch (J)	E_anis (J)	E_demag (J)
0	-7.4100726e-12	1	0	0	0	0	-1.6682232e-16	-0	5.0054615e-25	-1.670008e-16	1.7848011e-19
0	0.01000013	0.99995	0	0.009999999	0	0	-1.6683903e-16	-3.3400196e-20	6.047878e-25	-1.6698411e-16	1.7847927e-19
0	0.020000262	0.99979997	0	0.019999998	0	0	-1.6688911e-16	-1.3360078e-19	9.173036e-25	-1.66934e-16	1.7847675e-19
0	0.030000394	0.9995499	0	0.03	0	0	-1.6697264e-16	-3.006018e-19	1.43811e-24	-1.6685052e-16	1.7847258e-19
0	0.040000517	0.9991997	0	0.039999995	0	0	-1.6708954e-16	-5.3440314e-19	2.1675348e-24	-1.667336e-16	1.7846671e-19
0	0.050000656	0.99874914	0	0.05000001	0	0	-1.6723983e-16	-8.3500497e-19	3.1049952e-24	-1.6658328e-16	1.7845916e-19
0	0.060000785	0.9981984	0	0.06	0	0	-1.6742353e-16	-1.202407e-18	4.250049e-24	-1.6639957e-16	1.7844997e-19
0	0.07000091	0.9975469	0	0.07	0	0	-1.6764063e-16	-1.6366096e-18	5.604796e-24	-1.6618248e-16	1.784391e-19
0	0.08000104	0.9967948	0	0.07999999	0	0	-1.6789113e-16	-2.1376125e-18	7.1659186e-24	-1.6593194e-16	1.7842655e-19
0	0.09000118	0.99594164	0	0.090000026	0	0	-1.6817503e-16	-2.705416e-18	8.935527e-24	-1.6564804e-16	1.7841236e-19
0	0.10000131	0.99498725	0	0.10000002	0	0	-1.6849234e-16	-3.3400199e-18	1.0912727e-23	-1.6533073e-16	1.7839653e-19
0	0.11000142	0.9939313	0	0.11000001	0	0	-1.6884305e-16	-4.0414237e-18	1.3096823e-23	-1.6498002e-16	1.7837902e-19
0	0.120001554	0.99277353	0	0.12	0	0	-1.6922714e-16	-4.809628e-18	1.5487462e-23	-1.6459588e-16	1.7835988e-19
0	0.13000168	0.99151367	0	0.13	0	0	-1.6964463e-16	-5.6446325e-18	1.8087665e-23	-1.6417836e-16	1.7833908e-19
0	0.1400018	0.99015117	0	0.14	0	0	-1.7009554e-16	-6.5464376e-18	2.0890543e-23	-1.6372745e-16	1.7831668e-19
0	0.15000191	0.98868555	0	0.14999999	0	0	-1.7057985e-16	-7.515043e-18	2.3906381e-23	-1.6324311e-16	1.7829262e-19
0	0.16000204	0.98711646	0	0.15999998	0	0	-1.7109755e-16	-8.5504485e-18	2.7124073e-23	-1.6272539e-16	1.7826696e-19
0	0.17000219	0.9854434	0	0.16999999	0	0	-1.7164863e-16	-9.652654e-18	3.054884e-23	-1.6217425e-16	1.7823969e-19
0	0.1800023	0.9836659	0	0.18000005	0	0	-1.7223315e-16	-1.0821662e-17	3.417812e-23	-1.6158973e-16	1.7821082e-19
0	0.19000241	0.9817833	0	0.19000004	0	0	-1.7285106e-16	-1.2057466e-17	3.801355e-23	-1.6097181e-16	1.7818035e-19
0	0.20000252	0.97979504	0	0.20000003	0	0	-1.7350238e-16	-1.33600745e-17	4.2049723e-23	-1.6032048e-16	1.7814836e-19
0	0.21000263	0.9777005	0	0.21000002	0	0	-1.7418707e-16	-1.472948e-17	4.6295602e-23	-1.5963576e-16	1.7811473e-19
0	0.22000274	0.9754988	0	0.22000001	0	0	-1.7490517e-16	-1.6165685e-17	5.0742935e-23	-1.5891762e-16	1.7807957e-19
0	0.23000285	0.9731894	0	0.23	0	0	-1.7565666e-16	-1.7668695e-17	5.539305e-23	-1.5816608e-16	1.7804285e-19
0	0.24000296	0.97077155	0	0.24	0	0	-1.7644158e-16	-1.9238502e-17	6.0245945e-23	-1.5738113e-16	1.7800463e-19
0	0.25000307	0.96824443	0	0.25	0	0	-1.7725988e-16	-2.0875105e-17	6.5308355e-23	-1.565628e-16	1.7796483e-19
0	0.26000318	0.9656071	0	0.26	0	0	-1.781116e-16	-2.2578514e-17	7.056017e-23	-1.5571109e-16	1.7792359e-19
0	0.27000326	0.9628587	0	0.27	0	0	-1.789967e-16	-2.4348723e-17	7.601771e-23	-1.5482594e-16	1.7788084e-19
0	0.28000337	0.95999825	0	0.28	0	0	-1.799152e-16	-2.6185729e-17	8.167632e-23	-1.539074e-16	1.778366e-19
0	0.29000348	0.95702463	0	0.29	0	0	-1.808671e-16	-2.8089538e-17	8.7533634e-23	-1.5295544e-16	1.777909e-19
0	0.3000036	0.9539371	0	0.29999998	0	0	-1.8185242e-16	-3.006015e-17	9.359164e-23	-1.5197011e-16	1.7774378e-19
0	0.31000367	0.9507344	0	0.30999997	0	0	-1.8287112e-16	-3.2097553e-17	9.984445e-23	-1.5095137e-16	1.7769524e-19
0	0.32000378	0.94741523	0	0.31999996	0	0	-1.8392321e-16	-3.4201754e-17	1.0629939e-22	-1.4989921e-16	1.776453e-19
0	0.33000383	0.9439784	0	0.32999995	0	0	-1.8500872e-16	-3.6372766e-17	1.1294467e-22	-1.4881366e-16	1.7759397e-19
0	0.3400039	0.9404229	0	0.33999997	0	0	-1.8612762e-16	-3.8610564e-17	1.1978742e-22	-1.4769471e-16	1.7754129e-19
0	0.35000393	0.93674695	0	0.34999993	0	0	-1.8727992e-16	-4.0915172e-17	1.268061e-22	-1.4654236e-16	1.774873e-19
0	0.3600041	0.9329493	0	0.3600001	0	0	-1.8846565e-16	-4.328658e-17	1.3405285e-22	-1.4535662e-16	1.774319e-19
0	0.37000418	0.9290285	0	0.36999992	0	0	-1.8968476e-16	-4.5724797e-17	1.4147561e-22	-1.4413748e-16	1.7737529e-19
0	0.38000417	0.9249831	0	0.38000008	0	0	-1.9093727e-16	-4.8229788e-17	1.4907863e-22	-1.4288493e-16	1.7731741e-19
0	0.39000422	0.92081136	0	0.3899999	0	0	-1.9222316e-16	-5.080159e-17	1.5687503e-22	-1.4159899e-16	1.772583e-19
0	0.40000433	0.9165114	0	0.40000007	0	0	-1.9354246e-16	-5.34402e-17	1.6485836e-22	-1.4027963e-16	1.7719798e-19
0	0.41000435	0.91208166	0	0.4099999	0	0	-1.9489517e-16	-5.614559e-17	1.7302408e-22	-1.3892688e-16	1.7713648e-19
0	0.42000434	0.90752	0	0.42000005	0	0	-1.9628126e-16	-5.891779e-17	1.813644e-22	-1.3754073e-16	1.7707386e-19
0	0.43000442	0.9028246	0	0.4299999	0	0	-1.977008e-16	-6.1756795e-17	1.8987892e-22	-1.361212e-16	1.7701019e-19
0	0.44000456	0.8979932	0	0.44000003	0	0	-1.9915369e-16	-6.466261e-17	1.9861892e-22	-1.3466822e-16	1.7694526e-19
0	0.45000458	0.8930237	0	0.44999987	0	0	-2.0063998e-16	-6.7635204e-17	2.0752117e-22	-1.3318188e-16	1.7687933e-19
0	0.46000457	0.8879139	0	0.46	0	0	-2.0215969e-16	-7.06746e-17	2.1658758e-22	-1.3166211e-16	1.7681245e-19
0	0.4700046	0.88266116	0	0.46999985	0	0	-2.037128e-16	-7.378079e-17	2.2582634e-22	-1.3010897e-16	1.7674459e-19
0	0.48000464	0.87726307	0	0.48	0	0	-2.0529929e-16	-7.6953784e-17	2.3521025e-22	-1.2852241e-16	1.7667593e-19
0	0.49000454	0.8717168	0	0.48999983	0	0	-2.0691919e-16	-8.019357e-17	2.4478432e-22	-1.2690248e-16	1.7660624e-19
0	0.50000435	0.8660196	0	0.5	0	0	-2.0857249e-16	-8.3500124e-17	2.5454297e-22	-1.2524916e-16	1.7653576e-19
0	0.5100044	0.8601683	0	0.51000017	0	0	-2.1025921e-16	-8.687353e-17	2.6440058e-22	-1.2356241e-16	1.7646456e-19
0	0.5200044	0.8541599	0	0.52	0	0	-2.1197931e-16	-9.031372e-17	2.7450292e-22	-1.2184226e-16	1.7639247e-19
0	0.5300044	0.84799105	0	0.5299998	0	0	-2.1373282e-16	-9.38207e-17	2.847048e-22	-1.2008873e-16	1.7631982e-19
0	0.5400047	0.8416579	0	0.54	0	0	-2.1551974e-16	-9.739456e-17	2.9506344e-22	-1.1830172e-16	1.7624643e-19
